date_label,expected_offer_wage_mean,expected_offer_wage_women,expected_offer_wage_men,reservation_wage_mean,reservation_wage_women,reservation_wage_men,date,expected_offer_wage_gap_men_minus_women,reservation_wage_gap_men_minus_women
Jul 2018,52.90513610839844,42.365726470947266,63.12560272216797,60.195716857910156,47.984561920166016,72.90628814697266,2018-07-01,20.759876251220703,24.92172622680664
Nov 2018,54.56253433227539,43.23067855834961,64.78287506103516,62.41043472290039,48.83544158935547,75.66079711914062,2018-11-01,21.552196502685547,26.825355529785156
Mar 2019,52.323081970214844,42.208858489990234,60.85566329956055,62.365318298339844,49.77760314941406,73.23778533935547,2019-03-01,18.646804809570312,23.460182189941406
Jul 2019,54.20286560058594,44.98055648803711,61.378089904785156,62.194053649902344,52.86288833618164,70.02588653564453,2019-07-01,16.397533416748047,17.16299819946289
Nov 2019,54.69286346435547,45.57761764526367,62.0733757019043,64.32997131347656,53.63982391357422,73.2006607055664,2019-11-01,16.495758056640625,19.560836791992188
Mar 2020,53.67641067504883,40.428287506103516,67.46136474609375,61.73732376098633,51.22682571411133,72.97236633300781,2020-03-01,27.033077239990234,21.745540618896484
Jul 2020,54.646263122558594,46.52210235595703,62.742347717285156,64.22550964355469,54.6102294921875,75.07340240478516,2020-07-01,16.220245361328125,20.463172912597656
Nov 2020,57.6451530456543,48.305931091308594,65.88257598876953,68.19947052001953,55.54681396484375,80.62678527832031,2020-11-01,17.576644897460938,25.079971313476562
Mar 2021,60.61027145385742,54.17464828491211,66.12202453613281,71.40335083007812,60.63908004760742,81.03582000732422,2021-03-01,11.947376251220703,20.396739959716797
Jul 2021,57.20648193359375,47.17533874511719,65.75259399414062,68.95443725585938,56.12496566772461,80.97390747070312,2021-07-01,18.577255249023438,24.848941802978516
Nov 2021,58.042022705078125,49.16130447387695,64.71961975097656,70.33944702148438,56.661888122558594,82.16293334960938,2021-11-01,15.55831527709961,25.50104522705078
Mar 2022,57.500587463378906,47.29934310913086,65.36263275146484,73.28260040283203,61.67603302001953,83.30628967285156,2022-03-01,18.063289642333984,21.63025665283203
Jul 2022,60.31038284301758,48.83656692504883,71.26066589355469,72.87261962890625,59.543033599853516,86.2593002319336,2022-07-01,22.42409896850586,26.716266632080078
Nov 2022,61.186824798583984,50.86017990112305,71.06324768066406,73.66690826416016,61.64522171020508,85.6982192993164,2022-11-01,20.203067779541016,24.052997589111328
Mar 2023,58.709632873535156,50.65861129760742,66.48661041259766,75.81103515625,63.069244384765625,88.88308715820312,2023-03-01,15.827999114990234,25.8138427734375
Jul 2023,67.41566467285156,55.27625274658203,78.1805648803711,78.64533233642578,66.0677719116211,91.04789733886719,2023-07-01,22.904312133789062,24.980125427246094
Nov 2023,62.36586380004883,51.06415557861328,72.6119384765625,73.39097595214844,61.42991638183594,85.552490234375,2023-11-01,21.54778289794922,24.122573852539062
Mar 2024,70.08477020263672,57.227455139160156,82.05439758300781,81.82183074951172,66.26629638671875,95.47850799560547,2024-03-01,24.826942443847656,29.21221160888672
Jul 2024,65.2720947265625,54.50062561035156,74.96441650390625,81.147216796875,66.43246459960938,94.451904296875,2024-07-01,20.463790893554688,28.019439697265625
Nov 2024,65.88916015625,60.510746002197266,70.778564453125,82.13523864746094,70.18350982666016,92.3882064819336,2024-11-01,10.267818450927734,22.204696655273438
Mar 2025,66.71180725097656,56.54108810424805,76.40540313720703,74.23578643798828,65.58942413330078,82.29713439941406,2025-03-01,19.864315032958984,16.70771026611328
Jul 2025,66.57323455810547,60.50050354003906,72.08667755126953,82.47233581542969,74.37486267089844,90.0912857055664,2025-07-01,11.586174011230469,15.716423034667969
Nov 2025,65.03311157226562,55.90924835205078,73.3722152709961,80.43389129638672,69.7811279296875,91.1178970336914,2025-11-01,17.462966918945312,21.336769104003906
